N,NumPoor,PercentPoor,Area,Year,Appalachian
1946033,335117,17.2,Appalachia,2015,TRUE
9343128,1348773,14.4,Not Appalachia,2015,FALSE
27484,6537,23.8,Adams,2015,TRUE
100283,15088,15,Allen,2015,FALSE
50941,7230,14.2,Ashland,2015,FALSE
95196,18854,19.8,Ashtabula,2015,TRUE
55811,16837,30.2,Athens,2015,TRUE
45115,4079,9,Auglaize,2015,FALSE
64843,9153,14.1,Belmont,2015,TRUE
43022,7641,17.8,Brown,2015,TRUE
363257,47018,12.9,Butler,2015,FALSE
27405,4053,14.8,Carroll,2015,TRUE
38088,4211,11.1,Champaign,2015,FALSE
132134,21956,16.6,Clark,2015,FALSE
200346,19660,9.8,Clermont,2015,TRUE
40526,5962,14.7,Clinton,2015,FALSE
100743,15538,15.4,Columbiana,2015,TRUE
36133,5424,15,Coshocton,2015,TRUE
41551,6751,16.2,Crawford,2015,FALSE
1230956,225265,18.3,Cuyahoga,2015,FALSE
51089,5919,11.6,Darke,2015,FALSE
37514,4113,11,Defiance,2015,FALSE
190141,9625,5.1,Delaware,2015,FALSE
74219,9636,13,Erie,2015,FALSE
148545,14776,9.9,Fairfield,2015,FALSE
28005,4944,17.7,Fayette,2015,FALSE
1223993,203877,16.7,Franklin,2015,FALSE
41713,4417,10.6,Fulton,2015,FALSE
29364,6143,20.9,Gallia,2015,TRUE
93031,6076,6.5,Geauga,2015,FALSE
155842,19093,12.3,Greene,2015,FALSE
38809,7857,20.2,Guernsey,2015,TRUE
1981354,331147,16.7,Appalachia,2009,TRUE
9232174,1323046,14.3,Not Appalachia,2009,FALSE
28266,6450,22.8,Adams,2009,TRUE
101989,18378,18,Allen,2009,FALSE
50993,7439,14.6,Ashland,2009,FALSE
98098,16852,17.2,Ashtabula,2009,TRUE
55557,17515,31.5,Athens,2009,TRUE
45257,3254,7.2,Auglaize,2009,FALSE
66449,9404,14.2,Belmont,2009,TRUE
44134,5386,12.2,Brown,2009,TRUE
353575,45335,12.8,Butler,2009,FALSE
28584,3960,13.9,Carroll,2009,TRUE
39302,5924,15.1,Champaign,2009,FALSE
135054,22844,16.9,Clark,2009,FALSE
194858,18790,9.6,Clermont,2009,TRUE
41163,6079,14.8,Clinton,2009,FALSE
103884,16515,15.9,Columbiana,2009,TRUE
36467,6095,16.7,Coshocton,2009,TRUE
43259,6394,14.8,Crawford,2009,FALSE
1260508,215531,17.1,Cuyahoga,2009,FALSE
52210,5993,11.5,Darke,2009,FALSE
38335,4835,12.6,Defiance,2009,FALSE
167439,7578,4.5,Delaware,2009,FALSE
75443,9507,12.6,Erie,2009,FALSE
142269,16307,11.5,Fairfield,2009,FALSE
28355,5251,18.5,Fayette,2009,FALSE
1129154,196105,17.4,Franklin,2009,FALSE
42204,4353,10.3,Fulton,2009,FALSE
30150,6087,20.2,Gallia,2009,TRUE
92731,7432,8,Geauga,2009,FALSE
152196,19472,12.8,Greene,2009,FALSE
39530,6747,17.1,Guernsey,2009,TRUE
1981503,257780,13,Appalachia,1999,TRUE
9065484,912918,10.1,Not Appalachia,1999,FALSE
27002,4687,17.4,Adams,1999,TRUE
102300,12374,12.1,Allen,1999,FALSE
50238,4755,9.5,Ashland,1999,FALSE
100870,12162,12.1,Ashtabula,1999,TRUE
53844,14728,27.4,Athens,1999,TRUE
45636,2814,6.2,Auglaize,1999,FALSE
66997,9768,14.6,Belmont,1999,TRUE
41684,4856,11.6,Brown,1999,TRUE
321387,27946,8.7,Butler,1999,FALSE
28404,3245,11.4,Carroll,1999,TRUE
38096,2890,7.6,Champaign,1999,FALSE
141106,15054,10.7,Clark,1999,FALSE
176027,12462,7.1,Clermont,1999,TRUE
