County,Year,Population
Ohio,1960,9707136
Adams,1960,19982
Allen,1960,103691
Ashland,1960,38771
Ashtabula,1960,93067
Athens,1960,46998
Auglaize,1960,36147
Belmont,1960,83864
Brown,1960,25178
Butler,1960,199076
Carroll,1960,20857
Champaign,1960,29714
Clark,1960,131440
Clermont,1960,80515
Clinton,1960,30004
Columbiana,1960,107004
Coshocton,1960,32224
Crawford,1960,46775
Cuyahoga,1960,1647895
Darke,1960,45612
Defiance,1960,31508
Delaware,1960,36107
Erie,1960,68000
Fairfield,1960,63912
Fayette,1960,24775
Franklin,1960,682962
Fulton,1960,29301
Gallia,1960,26120
Geauga,1960,47573
Greene,1960,94642
Guernsey,1960,38579
Hamilton,1960,864121
Hancock,1960,53686
Hardin,1960,29633
Harrison,1960,17995
Henry,1960,25392
Highland,1960,29716
Hocking,1960,20168
Holmes,1960,21591
Huron,1960,47326
Jackson,1960,29372
Jefferson,1960,99201
Knox,1960,38808
Lake,1960,148700
Lawrence,1960,55438
Licking,1960,90242
Logan,1960,34803
Lorain,1960,217500
Lucas,1960,456931
Madison,1960,26454
Mahoning,1960,300480
Marion,1960,60221
Medina,1960,65315
Meigs,1960,22159
Mercer,1960,32559
Miami,1960,72901
Monroe,1960,15268
Montgomery,1960,527080
Morgan,1960,12747
Morrow,1960,19405
Muskingum,1960,79159
Noble,1960,10982
Ottawa,1960,35323
Paulding,1960,16792
Perry,1960,27864
Pickaway,1960,35855
Pike,1960,19380
Portage,1960,91798
Preble,1960,32498
Putnam,1960,28331
Richland,1960,117761
Ross,1960,61215
Sandusky,1960,57225
Scioto,1960,84216
Seneca,1960,59326
Shelby,1960,33586
Stark,1960,340345
Summit,1960,513569
Trumbull,1960,208526
Tuscarawas,1960,76789
Union,1960,22853
Van Wert,1960,28840
Vinton,1960,10274
Warren,1960,65726
Washington,1960,51689
Wayne,1960,75497
Williams,1960,29968
Wood,1960,72596
Wyandot,1960,21648
Ohio,1961,9933522
Adams,1961,19834
Allen,1961,105604
Ashland,1961,39471
Ashtabula,1961,94814
Athens,1961,47165
Auglaize,1961,36846
Belmont,1961,83078
Brown,1961,25554
Butler,1961,205688
Carroll,1961,21096
Champaign,1961,30055
Clark,1961,133790
Clermont,1961,85911
Clinton,1961,30671
Columbiana,1961,107829
Coshocton,1961,32462
Crawford,1961,47886
Cuyahoga,1961,1679847
Darke,1961,46137
Defiance,1961,32239
Delaware,1961,36916
Erie,1961,70091
Fairfield,1961,65450
Fayette,1961,25054
Franklin,1961,707945
Fulton,1961,29717
Gallia,1961,26273
Geauga,1961,50509
Greene,1961,99508
Guernsey,1961,38714
Hamilton,1961,883193
Hancock,1961,54946
Hardin,1961,29700
Harrison,1961,17804
Henry,1961,25854
Highland,1961,29885
Hocking,1961,20298
Holmes,1961,21966
Huron,1961,48246
Jackson,1961,29520
Jefferson,1961,99334
Knox,1961,39185
Lake,1961,158682
Lawrence,1961,56130
Licking,1961,92857
Logan,1961,35211
Lorain,1961,226711
Lucas,1961,464151
Madison,1961,27046
Mahoning,1961,305434
Marion,1961,61528
Medina,1961,68884
Meigs,1961,22041
Mercer,1961,32999
Miami,1961,74458
Monroe,1961,15317
Montgomery,1961,543674
Morgan,1961,12759
Morrow,1961,19662
Muskingum,1961,79622
Noble,1961,10857
Ottawa,1961,36057
Paulding,1961,17018
Perry,1961,27744
Pickaway,1961,36878
Pike,1961,19935
Portage,1961,95758
Preble,1961,33135
Putnam,1961,28729
Richland,1961,121142
Ross,1961,62103
Sandusky,1961,57704
Scioto,1961,84223
Seneca,1961,60025
Shelby,1961,34239
Stark,1961,347360
Summit,1961,526392
Trumbull,1961,214811
Tuscarawas,1961,77531
Union,1961,23096
Van Wert,1961,28975
Vinton,1961,10218
Warren,1961,69495
Washington,1961,52597
Wayne,1961,77700
Williams,1961,30437
Wood,1961,74299
Wyandot,1961,21813
Ohio,1962,10104203
Adams,1962,19727
Allen,1962,107089
Ashland,1962,40026
Ashtabula,1962,96082
Athens,1962,47360
Auglaize,1962,37348
Belmont,1962,82398
Brown,1962,25920
Butler,1962,210687
Carroll,1962,21260
Champaign,1962,30320
Clark,1962,135656
Clermont,1962,90198
Clinton,1962,31090
Columbiana,1962,108229
Coshocton,1962,32565
Crawford,1962,48718
Cuyahoga,1962,1703310
Darke,1962,46462
Defiance,1962,32830
Delaware,1962,37486
Erie,1962,71693
Fairfield,1962,66662
Fayette,1962,25265
Franklin,1962,727239
Fulton,1962,30052
