County,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Ohio,9707136,9933522,10104203,10266204,10425175,10564144,10691488,10749221,10784388,10790424,10657423,10735000,10747000,10767000,10766000,10770000,10753000,10771000,10795000,10799000,10797604,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10847115,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11353140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams,19982,19834,19727,19632,19543,19364,19202,19227,19461,19589,18957,19900,20700,21800,22500,22200,23200,23500,23900,24000,24328,24388,24459,24111,23861,24118,24306,24688,24887,25206,25371,25731,26044,26299,26550,26823,27273,27291,27422,27422,27330,27522,27817,28111,28328,28522,28615,28538,28686,28500,28550
Allen,103691,105604,107089,108506,109871,111059,112229,113214,114213,114714,111144,111400,110600,110200,110600,110800,109900,110500,109800,111200,112241,111726,109826,108936,109642,109601,109755,110123,110518,110270,109755,109916,110242,110262,110138,109841,109573,109150,108599,108192,108473,108523,108518,107418,106826,106861,106716,106717,106773,106518,106331
Ashland,38771,39471,40026,40562,41002,41363,41706,42118,42548,42603,43303,43200,43900,44200,44200,44800,44400,44700,45300,45800,46178,46396,46427,46186,46493,46572,46297,46448,46949,47499,47507,48099,48709,49865,50607,50581,51047,51508,52013,52431,52523,52560,52595,52867,52852,53048,53231,53544,53499,53305,53139
Ashtabula,93067,94814,96082,97341,98562,99734,100733,101368,102051,102074,98237,100700,100800,100400,101100,102000,101200,101600,102500,103800,104215,102998,102945,101955,101387,100761,100195,99864,99929,99664,99880,100255,100657,101092,101479,101821,102128,102703,102836,102796,102728,102450,102577,102667,102648,102638,102340,102156,101826,101584,101497
Athens,46998,47165,47360,47485,47594,47655,48321,48847,49274,58631,55747,57200,57500,56100,54000,52300,51500,54000,55100,55200,56399,56674,57432,57704,57695,58208,58343,59343,59046,59612,59549,59728,59739,60240,60377,60881,61205,61172,61417,61856,62223,62997,63401,63827,63230,64075,64237,64102,64546,64618,64757
Auglaize,36147,36846,37348,37767,38207,38609,38974,39340,39619,39652,38602,39200,39500,40400,40900,42500,41300,41500,42000,42500,42554,43013,42899,42808,43192,43394,43595,43914,44380,44501,44585,45257,45793,46106,46262,46454,46682,46583,46671,46663,46611,46137,45943,45872,45932,46166,46034,45977,46167,45996,45949
Belmont,83864,83078,82398,81631,81038,80161,79393,79622,79721,80847,80917,83400,83100,82700,82300,82900,83200,82600,82300,83400,82569,81859,81403,80575,79285,77482,75517,74336,73157,72239,71074,70697,70706,70620,70336,70049,71653,71339,71363,70587,70226,69901,70293,70219,70241,70203,70469,70430,70356,70439,70400
Brown,25178,25554,25920,26218,26494,26837,27044,27093,27155,26940,26635,27700,28900,29300,29500,30100,30100,30600,31300,31600,31920,32158,32150,32052,32162,32666,32930,33284,33901,34574,34966,35625,36351,37141,38154,38746,39398,40138,40808,41544,42285,42839,43368,43794,43995,44161,44334,44490,44668,44740,44846
Butler,199076,205688,210687,215572,220406,224781,228035,228325,228426,228469,226207,229300,232400,236900,239000,240700,241400,245900,251400,256500,258787,261926,262015,262757,267077,270444,274324,280021,283064,286469,291479,299492,305085,310942,314626,318290,322122,325431,328265,330751,332807,336679,339514,343022,346655,350732,356691,361192,364179,366633,368130
Carroll,20857,21096,21260,21407,21523,21635,21712,21768,21810,21852,21579,22100,22500,23300,24000,24300,24700,25200,25700,25600,25598,25508,25701,25964,26038,26144,26230,26356,26310,26399,26521,26878,27025,27316,27545,27890,28124,28470,28637,28763,28836,28961,29172,29325,29297,29118,29163,29062,28999,28917,28836
Champaign,29714,30055,30320,30526,30725,30871,30952,31230,31376,31436,30491,30900,31000,30700,32300,32300,32900,33200,33400,33900,33649,33599,33780,33637,33906,34166,34298,34822,35198,35728,36019,36411,36634,37035,37351,37644,37990,38168,38443,38669,38890,39047,39280,39395,39565,39592,40018,40127,40263,40265,40097
Clark,131440,133790,135656,137374,139104,140685,142309,145218,146893,149728,157115,160000,157900,157400,155800,154600,151700,150800,150700,150800,150236,149463,147821,147142,147100,147075,147403,147514,147992,147720,147538,147747,147584,147442,147355,147289,147116,146268,145742,145159,144742,143803,143229,141758,141380,141367,140668,139829,139404,138778,138333
Clermont,80515,85911,90198,94529,98654,102790,105368,105513,105618,105161,95372,98300,99400,102800,104700,109600,111800,115400,120600,124800,128483,130938,132719,134129,135550,137393,139924,143332,145624,147784,150094,154020,157006,160158,162726,165351,167937,170952,173634,176389,177977,179845,182143,184446,187281,189486,192209,194346,195891,196512,197363
