County,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Total2012to2017,CrudeRate,AgeAdjustedRate
Montgomery,116,125,130,145,121,113,119,150,199,251,239,320,521,1680,52.6,56.5
Brown,5,5,10,12,13,17,11,14,17,17,23,18,31,120,45.6,49.4
Butler,31,47,45,55,68,59,80,92,120,151,195,211,260,1029,45.8,49.1
Clark,15,18,20,19,19,19,34,36,28,38,71,73,96,342,42,45.9
Fayette,3,5,5,2,4,3,5,5,4,12,16,7,26,70,40.7,45.7
Clinton,4,6,8,10,11,3,6,13,16,13,20,12,30,104,41.4,44.8
Clermont,22,31,36,38,32,49,49,56,65,80,105,96,91,493,40.7,43.2
Adams,6,6,5,6,10,6,6,10,6,10,12,12,14,64,38.1,42.7
Trumbull,29,30,58,41,43,43,57,34,37,54,89,111,135,460,37.6,42
Scioto,17,15,19,20,24,22,25,17,18,23,30,35,51,174,37.6,40.6
Preble,4,3,7,11,9,7,5,11,6,8,15,21,29,90,36.2,39.7
Marion,7,3,8,9,9,8,13,19,18,27,22,24,30,140,35.6,36.7
Hamilton,86,98,96,113,101,110,150,159,212,248,335,318,444,1716,35.4,36.4
Ross,14,11,19,20,24,17,18,12,15,29,38,40,29,163,35.2,36.3
Erie,3,4,5,6,6,18,12,12,16,17,23,37,32,137,30.2,33.9
Darke,4,1,7,9,3,5,5,9,9,11,13,19,28,89,28.5,33.7
Richland,13,16,10,12,18,14,15,11,22,31,36,68,49,217,29.7,32.7
Lawrence,5,7,8,13,11,9,17,10,9,8,23,27,32,109,29.7,32.5
Lorain,13,18,16,18,25,21,25,70,69,71,63,146,133,552,30.2,32.5
Jefferson,12,12,9,15,23,13,25,14,17,21,16,14,28,110,27.1,31.9
Gallia,4,6,2,4,5,3,6,3,7,6,9,11,18,54,29.7,31.7
Summit,50,53,66,46,54,66,56,91,76,118,173,298,239,995,30.6,31.6
Columbiana,1,7,7,8,9,8,18,17,27,19,30,39,48,180,28.6,30.8
Mahoning,29,25,25,42,38,48,47,48,41,48,60,83,112,392,28.1,30.3
Lake,18,29,26,15,20,39,42,48,43,53,50,94,91,379,27.5,30
Pike,3,2,6,4,9,4,13,3,6,5,11,7,13,45,26.5,30
Jackson,4,14,7,8,5,7,8,9,12,8,9,7,10,55,28.1,29.6
Ashtabula,6,5,7,10,11,18,18,26,15,27,21,39,26,154,26,28.8
Cuyahoga,115,168,134,144,144,159,212,230,255,255,275,547,598,2160,28.6,28.5
