Total,Poor,PercentPoor,Year,Area
2465,325,13.2,1959,Ohio
2691,205,7.6,1969,Ohio
2850,215,7.6,1970,Ohio
2906,218,7.5,1971,Ohio
2860,199,6.9,1972,Ohio
2826,189,6.7,1973,Ohio
2810,185,6.6,1974,Ohio
2820,194,6.9,1975,Ohio
2810,205,7.3,1976,Ohio
2831,199,7,1977,Ohio
2842,206,7.2,1978,Ohio
2864,229,8,1979,Ohio
2898,247,8.5,1980,Ohio
2930,274,9.4,1981,Ohio
2936,314,10.7,1982,Ohio
2919,316,10.8,1983,Ohio
2902,311,10.7,1984,Ohio
2885,297,10.3,1985,Ohio
2882,299,10.4,1986,Ohio
2900,302,10.4,1987,Ohio
2911,296,10.2,1988,Ohio
2909,278,9.5,1989,Ohio
2924,291,9.9,1990,Ohio
2952,297,10.1,1991,Ohio
2988,327,11,1992,Ohio
3011,338,11.2,1993,Ohio
3020,335,11.1,1994,Ohio
2998,321,10.7,1995,Ohio
2983,284,9.5,1996,Ohio
2979,283,9.5,1997,Ohio
3000,259,8.6,1998,Ohio
3007,251,8.3,1999,Ohio
4536,371,8.2,2000,Ohio
2969,273,9.2,2001,Ohio
2982,280,9.4,2002,Ohio
3004,301,10,2003,Ohio
2987,297,9.9,2004,Ohio
2953,290,9.8,2005,Ohio
2962,287,9.7,2006,Ohio
2936,289,9.8,2007,Ohio
2947,328,11.1,2008,Ohio
2960,348,11.8,2009,Ohio
2916,350,12,2010,Ohio
2913,349,12,2011,Ohio
2923,340,11.6,2012,Ohio
2924,340,11.6,2013,Ohio
2922,314,10.7,2014,Ohio
2930,307,10.5,2015,Ohio
2951,290,9.8,2016,Ohio
45128,8315,18.4,1959,US
51169,5483,10.7,1969,US
52227,5260,10.1,1970,US
53296,5303,10,1971,US
54373,5075,9.3,1972,US
55053,4828,8.8,1973,US
55698,4922,8.8,1974,US
56245,5450,9.7,1975,US
56710,5311,9.4,1976,US
57215,5311,9.3,1977,US
57804,5280,9.1,1978,US
59190,5670,9.6,1979,US
60309,6217,10.3,1980,US
61019,6851,11.2,1981,US
61393,7512,12.2,1982,US
62015,7647,12.3,1983,US
62706,7277,11.6,1984,US
63558,7223,11.4,1985,US
64491,7023,10.9,1986,US
65204,7005,10.7,1987,US
65837,6874,10.4,1988,US
65049,6488,10,1989,US
66322,7098,10.7,1990,US
67175,7712,11.5,1991,US
68216,8144,11.9,1992,US
68506,8393,12.3,1993,US
69313,8053,11.6,1994,US
69597,7532,10.8,1995,US
70241,7708,11,1996,US
70884,7324,10.3,1997,US
71551,7186,10,1998,US
73778,6400,8.7,1999,US
72388,6222,8.6,2000,US
72453,6952,9.6,2001,US
73058,7143,9.8,2002,US
73886,7444,10.1,2003,US
74341,7605,10.2,2004,US
74564,7283,9.8,2005,US
75119,7162,9.5,2006,US
75031,7252,9.7,2007,US
75531,7956,10.5,2008,US
76089,8580,11.3,2009,US
76084,8939,11.7,2010,US
76509,9054,11.8,2011,US
76680,8905,11.6,2012,US
77152,8738,11.3,2013,US
77531,8233,10.6,2014,US
77786,7805,10,2015,US
78631,7501,9.5,2016,US
