Area,TotalIncome,PercentTotalIncome,DependencyRank,Year,TotalTransferReceipts
Ohio,544828473,19.6,NA,2012,91277290
Adams,922835,34.7,3,2012,274965
Allen,4223346,24.2,39,2012,886880
Ashland,1976587,23.1,49,2012,384219
Ashtabula,3616326,31.5,12,2012,966758
Athens,2171713,25.1,36,2012,491603
Auglaize,2102659,17.6,73,2012,317267
Belmont,2697089,26.4,32,2012,621289
Brown,1540886,28.5,21,2012,366239
Butler,17089200,18,70,2012,2572258
Carroll,1012130,26.3,33,2012,228735
Champaign,1531282,22.9,51,2012,299113
Clark,5286633,27.9,26,2012,1268958
Clermont,10211356,16.4,77,2012,1366219
Clinton,1809742,21.4,58,2012,330697
Columbiana,3725395,29.6,16,2012,936505
Coshocton,1215743,31,13,2012,323521
Crawford,1545112,29.5,17,2012,402383
Cuyahoga,65900676,19.5,63,2012,11194262
Darke,2049763,22.4,54,2012,404195
Defiance,1497610,24.1,40,2012,305643
Delaware,14298120,7.7,88,2012,864143
Erie,4799998,16.3,79,2012,662194
Fairfield,6835934,17.8,72,2012,1008067
Fayette,1063978,28.3,24,2012,261193
Franklin,63885292,15.2,82,2012,8199827
Fulton,1824732,19.8,61,2012,298145
Gallia,1107944,34.1,5,2012,322515
Geauga,6218666,11.6,87,2012,608427
Greene,8016254,17,75,2012,1141371
Guernsey,1464224,30.6,14,2012,381090
Hamilton,46331959,15.8,81,2012,6281017
Hancock,3686496,16,80,2012,510067
Hardin,973805,27.2,29,2012,228878
Harrison,567594,29.2,20,2012,144067
Henry,1164319,21.8,56,2012,220349
Highland,1481317,29.9,15,2012,377897
Hocking,1037682,29.2,19,2012,258145
Holmes,1816913,12.2,84,2012,186965
Huron,2271069,24.1,41,2012,464997
Jackson,1127931,32.1,10,2012,312191
Jefferson,2445120,32.7,9,2012,695507
Knox,2489157,23.8,42,2012,501969
Lake,11205472,18.9,66,2012,1784295
Lawrence,2197026,33.5,7,2012,632071
Licking,7668562,18.7,68,2012,1200650
Logan,1831421,22.5,53,2012,347539
Lorain,13682064,20.8,59,2012,2363998
Lucas,19356004,23.1,47,2012,3837038
Madison,1761126,18.5,69,2012,281162
Mahoning,9583851,27.3,28,2012,2272250
Marion,2360095,28,25,2012,566575
Medina,9547886,14.1,83,2012,1090594
Meigs,760814,33.5,8,2012,219637
Mercer,1886263,16.8,76,2012,270566
Miami,4766277,19.3,64,2012,780081
Monroe,440198,35.2,1,2012,129771
Montgomery,23940327,22.2,55,2012,4625913
Morgan,467043,32.1,11,2012,125548
Morrow,1297481,23.5,44,2012,253026
Area,2017,NA,NA,2012,2012
Muskingum,3388936,26.8,30,2012,776691
Noble,368673,29.2,18,2012,95069
Ottawa,1984226,23.1,48,2012,388532
Paulding,709404,24.5,37,2012,146689
Perry,1293965,27.8,27,2012,301536
Pickaway,2259469,21.4,57,2012,414099
Pike,995146,34.5,4,2012,300610
Portage,6812948,19.5,62,2012,1150026
Preble,1577850,24.4,38,2012,333238
Putnam,1553860,17,74,2012,220729
Richland,4579612,26.7,31,2012,1059456
Ross,2719670,28.3,22,2012,656006
Sandusky,2343859,23.8,43,2012,485439
Scioto,2768826,35,2,2012,832274
Seneca,2111470,25.7,34,2012,473971
Shelby,2132648,18,71,2012,328461
Stark,16128640,22.9,50,2012,3195546
Summit,26611223,18.8,67,2012,4308815
Trumbull,7969263,28.3,23,2012,1951023
Tuscarawas,3789544,22.5,52,2012,736048
Union,2857612,11.9,85,2012,283048
Van Wert,1115620,23.3,45,2012,226889
Vinton,417579,34,6,2012,121278
Warren,13002293,11.7,86,2012,1225737
Washington,2422506,25.7,35,2012,534127
Wayne,4860917,19,65,2012,781092
Williams,1459748,23.3,46,2012,296825
Wood,5884310,16.4,78,2012,837208
Wyandot,922159,20.6,60,2012,165384
Ohio,544828473,19.6,NA,2013,93244915
Adams,922835,34.7,3,2013,275629
Allen,4223346,24.2,39,2013,904899
Ashland,1976587,23.1,49,2013,394412
Ashtabula,3616326,31.5,12,2013,993202
Athens,2171713,25.1,36,2013,486635
Auglaize,2102659,17.6,73,2013,323050
Belmont,2697089,26.4,32,2013,625548
Brown,1540886,28.5,21,2013,383439
Butler,17089200,18,70,2013,2651847
Carroll,1012130,26.3,33,2013,237265
Champaign,1531282,22.9,51,2013,307175
Clark,5286633,27.9,26,2013,1306314
Clermont,10211356,16.4,77,2013,1401221
Clinton,1809742,21.4,58,2013,336637
Columbiana,3725395,29.6,16,2013,957021
Coshocton,1215743,31,13,2013,327221
Crawford,1545112,29.5,17,2013,403919
Cuyahoga,65900676,19.5,63,2013,11400560
Darke,2049763,22.4,54,2013,413814
Defiance,1497610,24.1,40,2013,311107
Delaware,14298120,7.7,88,2013,897995
Erie,4799998,16.3,79,2013,681823
Fairfield,6835934,17.8,72,2013,1035504
Fayette,1063978,28.3,24,2013,265632
Franklin,63885292,15.2,82,2013,8385241
Fulton,1824732,19.8,61,2013,306870
Gallia,1107944,34.1,5,2013,329058
Geauga,6218666,11.6,87,2013,615773
Greene,8016254,17,75,2013,1163608
Guernsey,1464224,30.6,14,2013,387484
Hamilton,46331959,15.8,81,2013,6424520
Hancock,3686496,16,80,2013,517379
Hardin,973805,27.2,29,2013,235150
Harrison,567594,29.2,20,2013,145241
Henry,1164319,21.8,56,2013,221669
Highland,1481317,29.9,15,2013,380973
Hocking,1037682,29.2,19,2013,263718
Holmes,1816913,12.2,84,2013,191342
Huron,2271069,24.1,41,2013,480228
Jackson,1127931,32.1,10,2013,317844
Jefferson,2445120,32.7,9,2013,714120
Knox,2489157,23.8,42,2013,507370
Lake,11205472,18.9,66,2013,1823283
Lawrence,2197026,33.5,7,2013,642663
Licking,7668562,18.7,68,2013,1230960
Logan,1831421,22.5,53,2013,357938
Lorain,13682064,20.8,59,2013,2453592
Lucas,19356004,23.1,47,2013,3915645
Madison,1761126,18.5,69,2013,285720
Mahoning,9583851,27.3,28,2013,2314276
Marion,2360095,28,25,2013,574505
Medina,9547886,14.1,83,2013,1132305
Meigs,760814,33.5,8,2013,220852
Mercer,1886263,16.8,76,2013,275648
Miami,4766277,19.3,64,2013,798735
Monroe,440198,35.2,1,2013,133263
Montgomery,23940327,22.2,55,2013,4687819
Morgan,467043,32.1,11,2013,128460
Morrow,1297481,23.5,44,2013,260647
Area,2017,NA,NA,2013,2013
Muskingum,3388936,26.8,30,2013,798249
Noble,368673,29.2,18,2013,94846
Ottawa,1984226,23.1,48,2013,394770
Paulding,709404,24.5,37,2013,149023
Perry,1293965,27.8,27,2013,309162
Pickaway,2259469,21.4,57,2013,421364
Pike,995146,34.5,4,2013,299460
Portage,6812948,19.5,62,2013,1165748
Preble,1577850,24.4,38,2013,340283
Putnam,1553860,17,74,2013,228137
Richland,4579612,26.7,31,2013,1069616
Ross,2719670,28.3,22,2013,664032
Sandusky,2343859,23.8,43,2013,496769
Scioto,2768826,35,2,2013,847501
Seneca,2111470,25.7,34,2013,482885
Shelby,2132648,18,71,2013,328011
Stark,16128640,22.9,50,2013,3306108
Summit,26611223,18.8,67,2013,4394464
Trumbull,7969263,28.3,23,2013,1981567
Tuscarawas,3789544,22.5,52,2013,754698
Union,2857612,11.9,85,2013,286765
Van Wert,1115620,23.3,45,2013,228529
Vinton,417579,34,6,2013,123932
Warren,13002293,11.7,86,2013,1277835
Washington,2422506,25.7,35,2013,538707
Wayne,4860917,19,65,2013,796573
Williams,1459748,23.3,46,2013,301130
Wood,5884310,16.4,78,2013,849631
Wyandot,922159,20.6,60,2013,169352
Ohio,544828473,19.6,NA,2014,97755221
Adams,922835,34.7,3,2014,295171
Allen,4223346,24.2,39,2014,932811
Ashland,1976587,23.1,49,2014,405933
Ashtabula,3616326,31.5,12,2014,1045266
Athens,2171713,25.1,36,2014,514521
Auglaize,2102659,17.6,73,2014,342354
Belmont,2697089,26.4,32,2014,654623
Brown,1540886,28.5,21,2014,407059
Butler,17089200,18,70,2014,2785997
Carroll,1012130,26.3,33,2014,245442
Champaign,1531282,22.9,51,2014,324877
Clark,5286633,27.9,26,2014,1355582
Clermont,10211356,16.4,77,2014,1491713
Clinton,1809742,21.4,58,2014,348426
Columbiana,3725395,29.6,16,2014,1009763
Coshocton,1215743,31,13,2014,342970
Crawford,1545112,29.5,17,2014,421013
Cuyahoga,65900676,19.5,63,2014,11899966
Darke,2049763,22.4,54,2014,425004
Defiance,1497610,24.1,40,2014,327705
Delaware,14298120,7.7,88,2014,960865
Erie,4799998,16.3,79,2014,716823
Fairfield,6835934,17.8,72,2014,1099966
Fayette,1063978,28.3,24,2014,275356
Franklin,63885292,15.2,82,2014,8859457
Fulton,1824732,19.8,61,2014,319834
Gallia,1107944,34.1,5,2014,348672
Geauga,6218666,11.6,87,2014,650864
Greene,8016254,17,75,2014,1239311
Guernsey,1464224,30.6,14,2014,410072
Hamilton,46331959,15.8,81,2014,6742511
Hancock,3686496,16,80,2014,542982
Hardin,973805,27.2,29,2014,244981
Harrison,567594,29.2,20,2014,151831
Henry,1164319,21.8,56,2014,237329
Highland,1481317,29.9,15,2014,408342
Hocking,1037682,29.2,19,2014,275051
Holmes,1816913,12.2,84,2014,201409
Huron,2271069,24.1,41,2014,495227
Jackson,1127931,32.1,10,2014,333505
Jefferson,2445120,32.7,9,2014,741680
Knox,2489157,23.8,42,2014,538074
Lake,11205472,18.9,66,2014,1918166
Lawrence,2197026,33.5,7,2014,674384
Licking,7668562,18.7,68,2014,1301564
Logan,1831421,22.5,53,2014,376090
Lorain,13682064,20.8,59,2014,2568704
Lucas,19356004,23.1,47,2014,4118747
Madison,1761126,18.5,69,2014,294531
Mahoning,9583851,27.3,28,2014,2424193
Marion,2360095,28,25,2014,608458
Medina,9547886,14.1,83,2014,1198253
Meigs,760814,33.5,8,2014,232302
Mercer,1886263,16.8,76,2014,289946
Miami,4766277,19.3,64,2014,833100
Monroe,440198,35.2,1,2014,138087
Montgomery,23940327,22.2,55,2014,4880873
Morgan,467043,32.1,11,2014,143184
Morrow,1297481,23.5,44,2014,277758
Area,2017,NA,NA,2014,2014
Muskingum,3388936,26.8,30,2014,837896
Noble,368673,29.2,18,2014,96957
Ottawa,1984226,23.1,48,2014,414370
Paulding,709404,24.5,37,2014,159721
Perry,1293965,27.8,27,2014,327277
Pickaway,2259469,21.4,57,2014,436695
Pike,995146,34.5,4,2014,310699
Portage,6812948,19.5,62,2014,1220257
Preble,1577850,24.4,38,2014,355372
Putnam,1553860,17,74,2014,238862
Richland,4579612,26.7,31,2014,1124404
Ross,2719670,28.3,22,2014,700112
Sandusky,2343859,23.8,43,2014,517052
Scioto,2768826,35,2,2014,900404
Seneca,2111470,25.7,34,2014,497955
Shelby,2132648,18,71,2014,349476
Stark,16128640,22.9,50,2014,3387120
Summit,26611223,18.8,67,2014,4581881
