Area,TotalTransferReceipts2012,TotalTransferReceipts2013,TotalTransferReceipts2014,TotalTransferReceipts2015,TotalTransferReceipts2016,TotalTransferReceipts2017,TotalIncome,PercentTotalIncome,DependencyRank
Ohio,"$91,277,290","$93,244,915","$97,755,221","$101,662,556","$104,243,797","$106,869,302","$544,828,473",19.6%,
Adams,"$274,965","$275,629","$295,171","$306,158","$313,297","$320,384","$922,835",34.7%,3
Allen,"$886,880","$904,899","$932,811","$977,355","$998,639","$1,022,799","$4,223,346",24.2%,39
Ashland,"$384,219","$394,412","$405,933","$426,276","$439,359","$456,143","$1,976,587",23.1%,49
Ashtabula,"$966,758","$993,202","$1,045,266","$1,081,610","$1,108,937","$1,137,408","$3,616,326",31.5%,12
Athens,"$491,603","$486,635","$514,521","$522,300","$536,420","$545,325","$2,171,713",25.1%,36
Auglaize,"$317,267","$323,050","$342,354","$353,437","$361,271","$370,401","$2,102,659",17.6%,73
Belmont,"$621,289","$625,548","$654,623","$677,237","$693,846","$712,463","$2,697,089",26.4%,32
Brown,"$366,239","$383,439","$407,059","$419,210","$428,962","$438,978","$1,540,886",28.5%,21
Butler,"$2,572,258","$2,651,847","$2,785,997","$2,927,768","$3,007,215","$3,079,886","$17,089,200",18.0%,70
Carroll,"$228,735","$237,265","$245,442","$252,465","$259,451","$266,263","$1,012,130",26.3%,33
Champaign,"$299,113","$307,175","$324,877","$333,091","$340,273","$349,943","$1,531,282",22.9%,51
Clark,"$1,268,958","$1,306,314","$1,355,582","$1,413,751","$1,439,831","$1,474,244","$5,286,633",27.9%,26
Clermont,"$1,366,219","$1,401,221","$1,491,713","$1,577,107","$1,629,691","$1,672,444","$10,211,356",16.4%,77
Clinton,"$330,697","$336,637","$348,426","$368,109","$376,797","$386,503","$1,809,742",21.4%,58
Columbiana,"$936,505","$957,021","$1,009,763","$1,048,430","$1,074,964","$1,102,223","$3,725,395",29.6%,16
Coshocton,"$323,521","$327,221","$342,970","$357,566","$367,383","$376,848","$1,215,743",31.0%,13
Crawford,"$402,383","$403,919","$421,013","$434,887","$445,717","$456,402","$1,545,112",29.5%,17
Cuyahoga,"$11,194,262","$11,400,560","$11,899,966","$12,303,970","$12,562,856","$12,874,529","$65,900,676",19.5%,63
Darke,"$404,195","$413,814","$425,004","$439,059","$446,576","$459,131","$2,049,763",22.4%,54
Defiance,"$305,643","$311,107","$327,705","$343,235","$352,269","$361,026","$1,497,610",24.1%,40
Delaware,"$864,143","$897,995","$960,865","$1,027,317","$1,073,033","$1,103,691","$14,298,120",7.7%,88
Erie,"$662,194","$681,823","$716,823","$743,283","$761,326","$781,860","$4,799,998",16.3%,79
Fairfield,"$1,008,067","$1,035,504","$1,099,966","$1,152,870","$1,182,959","$1,216,715","$6,835,934",17.8%,72
Fayette,"$261,193","$265,632","$275,356","$287,950","$293,526","$300,757","$1,063,978",28.3%,24
Franklin,"$8,199,827","$8,385,241","$8,859,457","$9,249,728","$9,494,506","$9,724,340","$63,885,292",15.2%,82
Fulton,"$298,145","$306,870","$319,834","$341,017","$351,452","$362,037","$1,824,732",19.8%,61
Gallia,"$322,515","$329,058","$348,672","$360,522","$368,695","$378,039","$1,107,944",34.1%,5
Geauga,"$608,427","$615,773","$650,864","$681,666","$705,272","$724,013","$6,218,666",11.6%,87
Greene,"$1,141,371","$1,163,608","$1,239,311","$1,285,796","$1,328,243","$1,363,183","$8,016,254",17.0%,75
Guernsey,"$381,090","$387,484","$410,072","$424,155","$434,560","$447,775","$1,464,224",30.6%,14
Hamilton,"$6,281,017","$6,424,520","$6,742,511","$6,978,370","$7,150,163","$7,309,286","$46,331,959",15.8%,81
Hancock,"$510,067","$517,379","$542,982","$561,444","$576,472","$589,581","$3,686,496",16.0%,80
Hardin,"$228,878","$235,150","$244,981","$252,807","$259,030","$265,357","$973,805",27.2%,29
Harrison,"$144,067","$145,241","$151,831","$157,311","$160,956","$165,463","$567,594",29.2%,20
Henry,"$220,349","$221,669","$237,329","$244,986","$249,020","$253,932","$1,164,319",21.8%,56
Highland,"$377,897","$380,973","$408,342","$421,451","$432,843","$443,225","$1,481,317",29.9%,15
Hocking,"$258,145","$263,718","$275,051","$288,163","$294,794","$302,592","$1,037,682",29.2%,19
Holmes,"$186,965","$191,342","$201,409","$209,678","$216,145","$221,413","$1,816,913",12.2%,84
Huron,"$464,997","$480,228","$495,227","$518,668","$533,611","$546,650","$2,271,069",24.1%,41
Jackson,"$312,191","$317,844","$333,505","$344,759","$353,893","$362,542","$1,127,931",32.1%,10
Jefferson,"$695,507","$714,120","$741,680","$764,223","$776,536","$799,806","$2,445,120",32.7%,9
Knox,"$501,969","$507,370","$538,074","$561,782","$577,030","$592,710","$2,489,157",23.8%,42
Lake,"$1,784,295","$1,823,283","$1,918,166","$1,998,756","$2,056,746","$2,112,779","$11,205,472",18.9%,66
Lawrence,"$632,071","$642,663","$674,384","$699,851","$715,962","$735,147","$2,197,026",33.5%,7
Licking,"$1,200,650","$1,230,960","$1,301,564","$1,356,942","$1,395,774","$1,431,167","$7,668,562",18.7%,68
